x1_theta,x2_theta_dot,detJ,trJ,sigma_min,sigma_max,cond2,spectral_radius_J,near_singular
-3.141592653589793,-2.0,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-1.9,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-1.8,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-1.7,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-1.6,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-1.5,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-1.4,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-1.2999999999999998,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-1.2,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-1.1,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-0.8999999999999999,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-0.7999999999999998,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-0.7,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-0.5999999999999999,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-0.5,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-0.3999999999999999,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-0.2999999999999998,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-0.19999999999999996,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,-0.09999999999999987,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,0.10000000000000009,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,0.20000000000000018,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,0.30000000000000027,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,0.40000000000000036,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,0.5,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,0.6000000000000001,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,0.7000000000000002,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,0.8000000000000003,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,0.9000000000000004,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,1.1,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,1.2000000000000002,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,1.3000000000000003,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,1.4000000000000004,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,1.5,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,1.6,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,1.7000000000000002,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,1.8000000000000003,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,1.9000000000000004,-1.0,0.0,1.0,1.0,1.0,1.0,False
-3.141592653589793,2.0,-1.0,0.0,1.0,1.0,1.0,1.0,False
-2.988344231463462,-2.0,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-1.9,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-1.8,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-1.7,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-1.6,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-1.5,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-1.4,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
