sample,R,H,v0,th(rad),det(Jy),invertible,cond(Jy),||Jy^{-1}||_2,||-Jy^{-1}Jx||_2
0,164.1172392441011,98.17856770121813,47.567582670577984,1.1749505624734409,1.0,True,1.0,1.0,334.40299977162186
1,45.25800980305511,3.1940421468970057,29.138314186362877,0.275136786810839,1.0,True,1.0,1.0,149.30226703609907
2,276.59612552469713,76.48967300468512,52.22288559512604,0.8357586419585638,1.0,True,1.0,1.0,149.17625382828442
3,191.45714315151437,49.804125387188435,43.35524159826502,0.8052570365099672,1.0,True,1.0,1.0,96.93444623738611
4,5.720515843035778,4.860969128878675,10.179754133820724,1.2846630616657937,1.0,True,1.0,1.0,18.01527723622733
5,348.86391780409286,78.59565679767685,58.659229340021575,0.7334562790595415,1.0,True,1.0,1.0,189.124637708835
6,212.43734309270118,38.31375054388553,46.862683609469414,0.6249528323434791,1.0,True,1.0,1.0,176.89821202803722
7,219.36921419507766,81.81448866916433,48.233536790232456,0.980265251232766,1.0,True,1.0,1.0,211.05026888893426
8,11.756542677414394,1.4537007310271552,12.046249797155024,0.4593194406938598,1.0,True,1.0,1.0,18.991058064177338
9,48.36219292950466,3.5083897884978885,29.771226584256194,0.2824199795138809,1.0,True,1.0,1.0,154.56903359895625
10,65.60851731394794,15.4188922026528,25.393891332791966,0.7545090107732793,1.0,True,1.0,1.0,33.88173983973464
11,310.79254219516685,61.47499515419611,55.9720743866731,0.6693538304829957,1.0,True,1.0,1.0,214.04621515967793
12,122.17403264421192,13.347682815216501,40.41258160443655,0.41199535887141636,1.0,True,1.0,1.0,234.36126284221032
13,239.99826287072622,41.08401333388025,50.25188872989565,0.6004097527175714,1.0,True,1.0,1.0,221.6639097411049
14,81.98000904578058,13.986716739328493,29.387780935503212,0.5988468309130079,1.0,True,1.0,1.0,76.33128672309557
15,27.659539322849152,4.1877445773089645,17.498129698162728,0.5445365333738035,1.0,True,1.0,1.0,32.20324450988464
16,121.2715296771725,21.51167165192702,35.502163285870914,0.6170982693425305,1.0,True,1.0,1.0,104.49312504824418
17,6.4111892982066445,2.760467830878687,8.509949085729643,1.0447447987474878,1.0,True,1.0,1.0,8.070413790804011
18,219.42347980735565,30.095107748324974,50.51971445959202,0.5017842188382885,1.0,True,1.0,1.0,300.4509927820005
19,50.23919242114246,78.48917610348269,39.741541951713565,1.412122058986097,1.0,True,1.0,1.0,306.95489693472655
